"folder/module","layer/architectonicComponent","Responsability"
"cmd","Arranque de aplicación / raíz de composición","Inicia la aplicación backend, crea repositorios concretos, almacenamiento, servicios de autenticación y servicios de aplicación, siembra el usuario administrador por defecto y levanta el servidor HTTP."
"docs","Documentación de API / componente OpenAPI","Almacena los archivos Swagger/OpenAPI generados que documentan la API HTTP y permiten servir la interfaz de Swagger."
"src","Raíz del código backend","Agrupa el código backend en capas de aplicación, dominio e infraestructura."
"src/app","Capa de aplicación / capa de casos de uso","Contiene servicios, DTOs, registros y puertos que coordinan flujos de negocio sin depender de detalles HTTP."
"src/app/user","Módulo de servicios de aplicación","Maneja casos de uso de usuarios como login, logout, consulta del usuario actual, creación de usuarios y listado de usuarios."
"src/app/course","Módulo de servicios de aplicación","Maneja casos de uso de cursos como crear cursos, asignar profesores, inscribir estudiantes y listar cursos."
"src/app/assignment","Módulo de servicios de aplicación","Maneja casos de uso de tareas como crear tareas, obtener tareas y listar tareas por curso."
"src/app/submission","Módulo de servicios de aplicación","Maneja flujos de entregas como validación de archivos, confirmación de entregas, calificación, descarga de archivos y consultas de entregas."
"src/app/report","Módulo de servicios de aplicación","Maneja la generación de reportes académicos, consulta de reportes y listado de reportes con base en tareas y entregas."
"src/domain","Capa de dominio / raíz de lógica de negocio","Agrupa las entidades principales, value objects, reglas de validación y errores de dominio."
"src/domain/AcademicProgram","Módulo de value objects de dominio","Valida programas académicos, semestres, áreas y especialidades de profesores contra valores permitidos por el negocio."
"src/domain/Task","Módulo de dominio reservado","Actualmente está vacío; parece reservado para un concepto futuro relacionado con tareas."
"src/domain/user","Módulo de entidades de dominio","Define el agregado User, Student, Professor, Admin, value objects de usuario y reglas de validación para nombres, correos, contraseñas y roles."
"src/domain/course","Módulo de entidades de dominio","Define Course, value objects del curso y comportamiento de inscripción como agregar o remover estudiantes."
"src/domain/assignment","Módulo de entidades de dominio","Define Assignment, value objects de título y descripción, fechas de publicación y entrega, y reglas de validación de fechas."
"src/domain/submission","Módulo de entidades de dominio","Define Submission, File, estado de entrega, validación de calificación, asociación de archivos y comportamiento de integridad por hash."
"src/domain/report","Módulo de entidades de dominio","Define AcademicReport, niveles de riesgo y la regla de negocio que calcula el riesgo académico desde el porcentaje de avance."
"src/infrastructure","Raíz de capa de infraestructura","Agrupa adaptadores técnicos que implementan persistencia, autenticación, almacenamiento y entrega HTTP."
"src/infrastructure/user","Adaptador de repositorio","Implementa el repositorio de usuarios en memoria, incluyendo búsqueda por id, búsqueda por email, listado, filtrado por rol y guardado de usuarios."
"src/infrastructure/course","Adaptador de repositorio","Implementa el repositorio de cursos en memoria, incluyendo persistencia de cursos, búsqueda por profesor, búsqueda por estudiante, inscripción y asignación de profesor."
"src/infrastructure/assignment","Adaptador de repositorio","Implementa el repositorio de tareas en memoria y también provee consultas de tareas usadas por la generación de reportes."
"src/infrastructure/submission","Adaptador de repositorio","Implementa el repositorio de entregas en memoria, incluyendo persistencia de entregas, persistencia de metadata de archivos, actualización de estados, actualización de calificaciones y búsqueda por tarea o estudiante/curso."
"src/infrastructure/report","Adaptador de repositorio","Implementa el repositorio de reportes en memoria, incluyendo persistencia de reportes, listado, búsqueda por id, búsqueda por estudiante/curso y búsqueda del reporte más reciente."
"src/infrastructure/common","Utilidades compartidas de infraestructura","Agrupa componentes técnicos compartidos que no pertenecen a un único módulo de dominio."
"src/infrastructure/common/auth","Adaptador de autenticación","Provee implementaciones de manejo de sesión, especialmente creación y validación de tokens JWT usados por login y middleware."
"src/infrastructure/common/storage","Adaptador de almacenamiento de archivos","Guarda archivos subidos en disco, calcula hashes de archivos, elimina archivos y los lee nuevamente para descarga."
"src/infrastructure/web","Capa de presentación / API HTTP","Construye el router de Echo, configura CORS, registra rutas, conecta middleware y expone Swagger UI."
"src/infrastructure/web/handlers","Capa de presentación / handlers HTTP","Recibe requests HTTP, enlaza datos de entrada, llama servicios de aplicación y retorna respuestas JSON o archivos."
"src/infrastructure/web/middleware","Capa de presentación / middleware HTTP","Valida tokens JWT Bearer antes de rutas protegidas y guarda el id del usuario autenticado en el contexto del request."
"uploads","Persistencia de archivos en tiempo de ejecución","Almacena archivos subidos mediante entregas usando ids de tarea y estudiante como estructura de carpetas; es información generada en ejecución, no código fuente."
